STATE_FIP,COUNTY_FIP,TRACT_ID,Median Income,Median Income Male,Median Income Female,geom
47,065,001300,"17,175","19,924","15,556","POLYGON ((-85.27716 35.025045, -85.27321599999999 35.032371999999995, -85.271851 35.034855, -85.26929799999999 35.033904, -85.265993 35.032675999999995, -85.263809 35.031867999999996, -85.259906 35.030626, -85.25905399999999 35.030286, -85.25745599999999 35.029320999999996, -85.259323 35.026283, -85.261398 35.021451, -85.26306799999999 35.021732, -85.26373199999999 35.021533, -85.264168 35.021378999999996, -85.266172 35.020966, -85.26949599999999 35.022192, -85.271299 35.022863, -85.276082 35.024646, -85.27716 35.025045))"
47,065,000400,"16,360","17,588","15,394","POLYGON ((-85.297859 35.050803, -85.297517 35.050962, -85.294737 35.052119999999995, -85.288797 35.052296999999996, -85.287407 35.052855, -85.285236 35.054224999999995, -85.277542 35.057095, -85.27574899999999 35.058548, -85.271298 35.056262, -85.270144 35.055761, -85.26898899999999 35.055588, -85.27054799999999 35.054656, -85.26574699999999 35.052475, -85.26173399999999 35.050976, -85.263077 35.04855, -85.263244 35.046558, -85.264579 35.043529, -85.267066 35.039041, -85.26922499999999 35.039871, -85.271985 35.040877, -85.286733 35.046303, -85.286887 35.046389, -85.288721 35.045988, -85.291009 35.046856999999996, -85.293617 35.047824999999996, -85.29312999999999 35.048738, -85.29604499999999 35.050125, -85.296266 35.050188999999996, -85.297615 35.050699, -85.298029 35.050759, -85.297859 35.050803))"
47,065,010502,"27,248","37,325","18,496","POLYGON ((-85.300354 35.090678, -85.294358 35.096072, -85.291539 35.100805, -85.291461 35.100907, -85.29128899999999 35.101130999999995, -85.29046 35.102833, -85.29032199999999 35.103119, -85.289558 35.104541, -85.289739 35.104543, -85.28634699999999 35.10574, -85.28634799999999 35.106228, -85.286898 35.108559, -85.286653 35.10863, -85.282009 35.109823999999996, -85.28077499999999 35.109454, -85.277853 35.106645, -85.27585599999999 35.105665, -85.27282199999999 35.105477, -85.273562 35.10426, -85.270027 35.103294, -85.269762 35.102965999999995, -85.268311 35.102031, -85.26799799999999 35.101321999999996, -85.268045 35.100491999999996, -85.268219 35.099838999999996, -85.26824599999999 35.099306, -85.268073 35.098821, -85.266858 35.095276999999996, -85.26490299999999 35.093863, -85.269565 35.091449, -85.27032299999999 35.09091, -85.27252899999999 35.089656999999995, -85.27619399999999 35.086421, -85.278239 35.083418, -85.279015 35.081452, -85.280412 35.081801, -85.28144499999999 35.084022, -85.282591 35.085066, -85.283526 35.085232, -85.284785 35.084937, -85.28721399999999 35.084030999999996, -85.287813 35.083964, -85.288877 35.084075999999996, -85.289408 35.084015, -85.289687 35.083511, -85.28966299999999 35.082597, -85.289913 35.081908, -85.291673 35.083967, -85.291877 35.084393999999996, -85.28876699999999 35.088093, -85.290855 35.088401, -85.296234 35.087685, -85.296804 35.087968, -85.29836 35.089034999999996, -85.298954 35.089053, -85.299014 35.089189999999995, -85.299504 35.089982, -85.300354 35.090678))"
47,065,002400,"15,523","15,567","15,480","POLYGON ((-85.29103099999999 35.006237, -85.286684 35.004649, -85.283388 35.003409999999995, -85.283304 35.003339, -85.279718 35.001911, -85.279643 34.999601999999996, -85.27741999999999 34.998798, -85.278469 34.996606, -85.277154 34.996296, -85.27587299999999 34.997493999999996, -85.276009 34.996235, -85.27409899999999 34.997732, -85.2714 34.998360999999996, -85.271119 34.998242, -85.27217499999999 34.997171, -85.273968 34.992706999999996, -85.275611 34.990335, -85.27040799999999 34.990041, -85.270597 34.989562, -85.268582 34.988738, -85.271683 34.987705, -85.273093 34.985841, -85.27306452142739 34.9850008446308, -85.27585599999999 34.984975, -85.27755599999999 34.984975, -85.2802008568674 34.9849244255415, -85.2811480110122 34.984906314237, -85.286906607921 34.9847961994236, -85.289823 34.989656, -85.290848 34.994709, -85.29307299999999 35.005972, -85.29103099999999 35.006237))"
47,065,010432,"40,555","55,556","30,070","POLYGON ((-85.241148 35.134451999999996, -85.236837 35.137268, -85.233774 35.139752, -85.226834 35.143944999999995, -85.221038 35.146442, -85.219853 35.147428999999995, -85.21902 35.150812, -85.218577 35.151365999999996, -85.217188 35.151998999999996, -85.20495799999999 35.149056, -85.20406899999999 35.149144, -85.202985 35.149727999999996, -85.19930699999999 35.154057, -85.19681 35.152495, -85.197791 35.150442, -85.19659399999999 35.146675, -85.19447699999999 35.147306, -85.192121 35.146602, -85.190268 35.1447, -85.18552199999999 35.142483, -85.184072 35.144141999999995, -85.183668 35.144496, -85.18163799999999 35.144360999999996, -85.18066499999999 35.143966999999996, -85.178664 35.143575, -85.17745699999999 35.143035999999995, -85.175753 35.141557999999996, -85.17456299999999 35.140919, -85.174598 35.139956, -85.16977399999999 35.137696999999996, -85.171027 35.135172, -85.174813 35.12949, -85.180463 35.124184, -85.18350799999999 35.120545, -85.185801 35.117616999999996, -85.18624 35.116915, -85.187124 35.11564, -85.194592 35.107611999999996, -85.19644199999999 35.10667, -85.198989 35.105136, -85.20893 35.10301, -85.215356 35.103198, -85.226365 35.10621, -85.229227 35.106196, -85.229312 35.108444999999996, -85.229928 35.113034, -85.230972 35.114703, -85.236436 35.119454, -85.23906699999999 35.122394, -85.24451599999999 35.131038, -85.241148 35.134451999999996))"
47,065,011600,"22,442","24,060","17,337","POLYGON ((-85.240974 34.987251, -85.238597 34.989776, -85.237552 34.992435, -85.23539 34.995414, -85.237496 34.99581, -85.23190199999999 35.006204, -85.231758 35.006463, -85.22710599999999 35.004954, -85.225178 35.00461, -85.21910199999999 35.004165, -85.212997 35.004245999999995, -85.20839699999999 35.005375, -85.210934 35.003479, -85.210865 35.001265, -85.209048 34.997885, -85.203718 34.990047, -85.2013615575317 34.9858336212141, -85.21654 34.985675146171204, -85.216554 34.985675, -85.217854 34.985675, -85.22055399999999 34.985575, -85.221854 34.985475, -85.227925 34.985475, -85.23035399999999 34.985475, -85.23041041947559 34.985475, -85.23555499999999 34.985475, -85.2421827037588 34.9853725097356, -85.240974 34.987251))"
47,065,010700,"21,636","25,794","17,388","POLYGON ((-85.32078399999999 35.077850999999995, -85.318274 35.081551999999995, -85.31760799999999 35.083994, -85.31732699999999 35.08455, -85.30883999999999 35.093157, -85.307226 35.09471, -85.30548999999999 35.096227, -85.303541 35.098614999999995, -85.300259 35.102987999999996, -85.299594 35.103777, -85.297032 35.106811, -85.296081 35.107987, -85.29382199999999 35.112370999999996, -85.293533 35.112898, -85.290364 35.11867, -85.28952199999999 35.119738999999996, -85.287911 35.121604, -85.284004 35.120540999999996, -85.281641 35.119265999999996, -85.281868 35.11907, -85.28301599999999 35.11885, -85.285157 35.116367, -85.286558 35.113005, -85.28764199999999 35.11108, -85.288423 35.110037, -85.28823 35.109876, -85.28890299999999 35.109809999999996, -85.289519 35.108889, -85.28870599999999 35.108568, -85.286898 35.108559, -85.28634799999999 35.106228, -85.28634699999999 35.10574, -85.289739 35.104543, -85.289558 35.104541, -85.29032199999999 35.103119, -85.29046 35.102833, -85.29128899999999 35.101130999999995, -85.291461 35.100907, -85.291539 35.100805, -85.294358 35.096072, -85.300354 35.090678, -85.299504 35.089982, -85.299014 35.089189999999995, -85.29943 35.089113, -85.300209 35.088422, -85.30118999999999 35.083704, -85.30133699999999 35.082487, -85.30241 35.082591, -85.303102 35.082637, -85.30314299999999 35.082614, -85.303857 35.080453999999996, -85.30664 35.080672, -85.307215 35.080674, -85.307199 35.080830999999996, -85.307473 35.078415, -85.312073 35.079675, -85.315925 35.074664999999996, -85.318563 35.074722, -85.32078399999999 35.077850999999995))"
47,065,011001,"22,500","32,154","19,153","POLYGON ((-85.289701 35.266402, -85.276066 35.282962999999995, -85.254249 35.309174, -85.248683 35.316049, -85.246005 35.319077, -85.225877 35.354276, -85.21640699999999 35.370025, -85.195973 35.403493999999995, -85.192881 35.410841, -85.18892 35.418001, -85.184094 35.428156, -85.168302 35.455614, -85.16429099999999 35.451753, -85.163473 35.449532999999995, -85.16254599999999 35.448533, -85.16078 35.448395, -85.159142 35.447345, -85.15749699999999 35.44779, -85.154133 35.447216999999995, -85.15123299999999 35.445205, -85.148792 35.445594, -85.145341 35.449782, -85.13519099999999 35.458649, -85.132431 35.457871, -85.126879 35.458200000000005, -85.12577 35.459198, -85.125723 35.455145, -85.123735 35.455082, -85.123716 35.456883, -85.12003899999999 35.458137, -85.11711 35.456410999999996, -85.11502 35.457052, -85.111567 35.456972, -85.10964299999999 35.45545, -85.108209 35.452707, -85.10725699999999 35.452425, -85.10955799999999 35.450306, -85.10730199999999 35.448588, -85.103325 35.445524999999996, -85.103687 35.444685, -85.110728 35.437238, -85.113186 35.437602999999996, -85.11617299999999 35.437194999999996, -85.118067 35.437821, -85.12096799999999 35.438027999999996, -85.12514499999999 35.437121999999995, -85.12589 35.435846999999995, -85.12620299999999 35.433499, -85.127022 35.43268, -85.12532499999999 35.428435, -85.124555 35.427555999999996, -85.126741 35.425184, -85.126413 35.423983, -85.127853 35.420947999999996, -85.127811 35.418475, -85.129297 35.415313999999995, -85.129791 35.412893, -85.132136 35.406464, -85.130923 35.405586, -85.13041 35.403785, -85.13173599999999 35.396170999999995, -85.13155499999999 35.392786, -85.13103199999999 35.391389, -85.131541 35.389846, -85.13275399999999 35.387895, -85.13596299999999 35.386337999999995, -85.135465 35.386097, -85.13457 35.38559, -85.13100999999999 35.385315, -85.13168499999999 35.384405, -85.135103 35.384712, -85.138252 35.378315, -85.139614 35.370982, -85.141696 35.368851, -85.144328 35.364939, -85.14456299999999 35.363848, -85.146588 35.360642, -85.145386 35.358944, -85.145538 35.356198, -85.14628499999999 35.355961, -85.14663499999999 35.352418, -85.145333 35.351889, -85.14443299999999 35.349227, -85.14513099999999 35.346722, -85.15137399999999 35.350511, -85.15468 35.350193, -85.155592 35.35049, -85.157921 35.347066999999996, -85.158491 35.34506, -85.15565699999999 35.344502999999996, -85.155464 35.345413, -85.153618 35.34523, -85.152321 35.34397, -85.154139 35.339456999999996, -85.15664 35.337979, -85.15761499999999 35.335764, -85.159026 35.334329, -85.160034 35.331097, -85.162418 35.329512, -85.164125 35.329887, -85.163253 35.327501999999996, -85.16057099999999 35.323594, -85.160788 35.318737999999996, -85.16326099999999 35.311029999999995, -85.16433599999999 35.306677, -85.163855 35.305521, -85.166456 35.301719999999996, -85.166923 35.298384, -85.167976 35.292167, -85.1686 35.29172, -85.171324 35.291647, -85.173569 35.290982, -85.177454 35.290547, -85.18101999999999 35.289195, -85.182709 35.287724, -85.182941 35.285149, -85.18578099999999 35.28362, -85.18968799999999 35.283257, -85.19087999999999 35.282253, -85.194812 35.281068, -85.196877 35.278399, -85.200311 35.27635, -85.199822 35.273054, -85.20088899999999 35.271358, -85.205784 35.26715, -85.20376999999999 35.265147, -85.204577 35.262608, -85.206177 35.26078, -85.208298 35.259491, -85.210841 35.260659, -85.213799 35.258172, -85.219315 35.251472, -85.224068 35.248658, -85.225735 35.246649999999995, -85.225883 35.244845999999995, -85.227986 35.242671, -85.22839599999999 35.241662, -85.227581 35.240313, -85.231369 35.241445999999996, -85.232052 35.242447999999996, -85.232749 35.245565, -85.232649 35.246931, -85.23699599999999 35.245720999999996, -85.23927499999999 35.248715, -85.243067 35.249614, -85.24653599999999 35.247645999999996, -85.24946299999999 35.247183, -85.25456799999999 35.247983999999995, -85.25587399999999 35.247946999999996, -85.256771 35.249435999999996, -85.255963 35.251737999999996, -85.256062 35.252925, -85.257964 35.25492, -85.25729199999999 35.256777, -85.257673 35.259074999999996, -85.256103 35.262271999999996, -85.256317 35.262816, -85.260458 35.262482999999996, -85.261884 35.26283, -85.262862 35.263902, -85.263376 35.267050999999995, -85.264682 35.26726, -85.26781199999999 35.266959, -85.26890499999999 35.265432, -85.26843 35.264030999999996, -85.269187 35.263036, -85.272691 35.263373, -85.27431299999999 35.263180999999996, -85.27543899999999 35.261055, -85.277524 35.258742, -85.27835499999999 35.258593999999995, -85.281471 35.255137999999995, -85.28355499999999 35.254709999999996, -85.284432 35.256727, -85.286013 35.256716, -85.28708499999999 35.255677999999996, -85.28810299999999 35.256508, -85.288277 35.257964, -85.29060799999999 35.258579999999995, -85.289656 35.260289, -85.29254399999999 35.26291, -85.289701 35.266402))"
47,065,010104,"23,970","31,705","17,682","POLYGON ((-85.10271499999999 35.268267, -85.10107099999999 35.273893, -85.099617 35.276421, -85.097843 35.278178, -85.09325299999999 35.281782, -85.088585 35.284504, -85.08305 35.287106, -85.081403 35.288255, -85.078751 35.290569999999995, -85.07648999999999 35.292991, -85.075312 35.294758, -85.07056999999999 35.300514, -85.067773 35.304694999999995, -85.065587 35.307386, -85.06338099999999 35.309557999999996, -85.059129 35.315129, -85.05646999999999 35.319452999999996, -85.054898 35.322562999999995, -85.053062 35.328753, -85.051205 35.333672, -85.05024399999999 35.338212, -85.04902799999999 35.341584999999995, -85.047546 35.349318, -85.047415 35.350248, -85.048312 35.358911, -85.04559499999999 35.358131, -85.044457 35.360673999999996, -85.042262 35.363661, -85.039205 35.366929999999996, -85.03584099999999 35.370048, -85.033345 35.373336, -85.03264899999999 35.37507, -85.033621 35.37507, -85.031314 35.379477, -85.02263599999999 35.376213, -85.023539 35.374711, -85.01514999999999 35.371888, -85.013091 35.375071, -85.008366 35.383255, -85.00052199999999 35.380359, -84.99769599999999 35.375842999999996, -84.99642899999999 35.373287, -84.992813 35.368793, -84.990528 35.366541, -84.97985 35.36277, -84.977749 35.36107, -84.97524899999999 35.35787, -84.97505 35.35617, -84.97630199999999 35.347274, -84.974942 35.34449, -84.971161 35.339619, -84.971741 35.336909999999996, -84.971741 35.330891, -84.971327 35.329369, -84.969337 35.326572, -84.968147 35.323788, -84.966606 35.321239, -84.964078 35.310314999999996, -84.96286099999999 35.308478, -84.962471 35.306826, -84.958722 35.301705, -85.000947 35.252635999999995, -85.011264 35.240617, -85.021731 35.227035, -85.022604 35.228353999999996, -85.02299099999999 35.228617, -85.024377 35.22941, -85.026108 35.229851, -85.026603 35.230377, -85.02644 35.233138, -85.027007 35.234317, -85.030554 35.23619, -85.031733 35.237502, -85.03379699999999 35.238941, -85.034444 35.241265, -85.043739 35.244614, -85.047767 35.245551999999996, -85.051699 35.245424, -85.05237699999999 35.246034, -85.052651 35.24629, -85.053271 35.246586, -85.0544 35.246835, -85.055296 35.246835, -85.056338 35.246553999999996, -85.057277 35.246491, -85.057695 35.246521, -85.063891 35.248103, -85.06693 35.249203, -85.067246 35.248723, -85.072081 35.248863, -85.075015 35.24558, -85.075615 35.240916999999996, -85.076709 35.237812999999996, -85.080052 35.236176, -85.081875 35.238897, -85.08485399999999 35.241130999999996, -85.086108 35.244600999999996, -85.092012 35.251442, -85.096588 35.255599, -85.097797 35.256277, -85.100484 35.260419, -85.102869 35.26591, -85.10271499999999 35.268267))"
47,065,011900,"25,000","22,713","26,379","POLYGON ((-85.268248 35.010039, -85.26448599999999 35.016223, -85.261674 35.018882999999995, -85.260691 35.018634999999996, -85.26010199999999 35.02045, -85.25213699999999 35.014359, -85.25267199999999 35.012736, -85.253761 35.01075, -85.255781 35.007073999999996, -85.256399 35.005967, -85.259872 35.003445, -85.262822 35.007484, -85.263412 35.007864, -85.266285 35.008445, -85.267962 35.009119, -85.268248 35.010039))"
